Name,Score,Genders,Type,Episodes,Premiered,Producers,Source,Duration per ep.,Rating
.hack//Roots,6.91,Adventure,TV,26,2006,TV Tokyo,Original,24 min,PG-13 - Teens 13 or older
.hack//Sign,6.98,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",TV,26,2002,Bandai Visual,Original,24 min,PG-13 - Teens 13 or older
.hack//Tasogare no Udewa Densetsu,6.6,Adventure,TV,12,2003,Bandai Visual,Manga,23 min,PG-13 - Teens 13 or older
009-1,6.26,Action,TV,12,2006,Aniplex,Manga,25 min,R - 17+ (violence & profanity)
07-Ghost,7.24,Action,TV,25,2009,Ichijinsha,Manga,23 min,PG-13 - Teens 13 or older
100-man no Inochi no Ue ni Ore wa Tatteiru,6.45,Action,TV,12,2020,Lantis,Manga,23 min,PG-13 - Teens 13 or older
100% Pascal-sensei (TV),5.72,Comedy,TV,36,2017,Dentsu,Manga,12 min,PG - Children
11eyes,6.16,Action,TV,12,2009,Marvelous,Visual novel,25 min,R - 17+ (violence & profanity)
12-sai.: Chicchana Mune no Tokimeki,6.42,"Romance, School, Shoujo",TV,12,2016,Shochiku,Manga,24 min,PG - Children
12-sai.: Chicchana Mune no Tokimeki 2nd Season,6.59,"Romance, School, Shoujo",TV,12,2016,Shochiku,Manga,24 min,PG - Children
18if,6.17,"Mystery, Supernatural",TV,13,2017,Sotsu,Game,23 min,R - 17+ (violence & profanity)
2.43: Seiin Koukou Danshi Volley-bu,6.41,Sports,TV,12,2021,Aniplex,Novel,23 min,PG-13 - Teens 13 or older
22/7,6.81,Music,TV,12,2020,Aniplex,Other,24 min,PG-13 - Teens 13 or older
25-sai no Joshikousei,5.54,Ecchi,TV,12,2018,CoMix Wave Films,Web manga,6 min,R+ - Mild Nudity
3-gatsu no Lion,8.43,Drama,TV,22,2016,Aniplex,Manga,25 min,PG-13 - Teens 13 or older
3-gatsu no Lion 2nd Season,9,Drama,TV,22,2017,Aniplex,Manga,25 min,PG-13 - Teens 13 or older
3D Kanojo: Real Girl,6.78,"Romance, School, Shoujo",TV,12,2018,Nippon Animation,Manga,22 min,PG-13 - Teens 13 or older
3D Kanojo: Real Girl 2nd Season,7.66,"Romance, School, Shoujo",TV,12,2019,VAP,Manga,22 min,PG-13 - Teens 13 or older
5-toubun no Hanayome ∬,8.05,"Harem, Comedy, Romance, School, Shounen",TV,12,2021,Pony Canyon,Manga,24 min,PG-13 - Teens 13 or older
91 Days,7.84,Action,TV,12,2016,Shochiku,Original,24 min,R - 17+ (violence & profanity)
A-Channel,6.96,School,TV,12,2011,Aniplex,4-koma manga,24 min,PG-13 - Teens 13 or older
A.D. Police (TV),6.02,Action,TV,12,1999,AIC,Original,24 min,PG-13 - Teens 13 or older
A3! Season Autumn & Winter,7.26,"Slice of Life, Drama",TV,12,2020,Pony Canyon,Game,23 min,PG-13 - Teens 13 or older
A3! Season Spring & Summer,7.14,"Slice of Life, Drama",TV,12,2020,Pony Canyon,Game,23 min,PG-13 - Teens 13 or older
Aa Harimanada,6.12,Sports,TV,23,1992,TV Tokyo,Manga,24 min,PG-13 - Teens 13 or older
Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,6.92,Comedy,TV,48,1998,Bandai Visual,4-koma manga,7 min,G - All Ages
Aa! Megami-sama!: Sorezore no Tsubasa,7.58,Comedy,TV,22,2006,TBS,Manga,24 min,PG-13 - Teens 13 or older
Abenobashi Mahou☆Shoutengai,7.26,Parody,TV,13,2002,Dentsu,Original,24 min,R+ - Mild Nudity
Absolute Duo,6.51,Action,TV,12,2015,Half H.P Studio,Light novel,24 min,R - 17+ (violence & profanity)
ACCA: 13-ku Kansatsu-ka,7.68,"Mystery, Police, Drama, Fantasy, Seinen",TV,12,2017,Bandai Visual,Manga,24 min,PG-13 - Teens 13 or older
Accel World,7.32,Action,TV,24,2012,Genco,Light novel,24 min,PG-13 - Teens 13 or older
Acchi Kocchi (TV),7.51,"Slice of Life, Comedy, Romance, School",TV,12,2012,Pony Canyon,4-koma manga,25 min,PG-13 - Teens 13 or older
Ace wo Nerae!,7.02,Sports,TV,26,1973,Mainichi Broadcasting System,Manga,24 min,PG-13 - Teens 13 or older
Action Heroine Cheer Fruits,6.55,School,TV,12,2017,TBS,Original,24 min,PG-13 - Teens 13 or older
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari,5.88,Comedy,TV,12,2016,Sotsu,Original,24 min,PG-13 - Teens 13 or older
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari 2nd,6.38,"Sci-Fi, Comedy, Police, Mecha",TV,12,2016,Sotsu,Original,24 min,PG-13 - Teens 13 or older
Actors: Songs Connection,6.23,"Music, School",TV,12,2019,Sotsu,Music,23 min,PG-13 - Teens 13 or older
Adachi to Shimamura,7.21,"Slice of Life, Romance, School, Shoujo Ai",TV,12,2020,Kadokawa,Light novel,24 min,PG-13 - Teens 13 or older
Africa no Salaryman (TV),6.52,"Slice of Life, Comedy",TV,12,2019,Pony Canyon,Web manga,23 min,PG-13 - Teens 13 or older
Afro Samurai,7.36,Action,TV,5,2007,Dentsu,Original,27 min,R+ - Mild Nudity
After War Gundam X,7.32,"Sci-Fi, Adventure, Space, Drama, Mecha",TV,39,1996,Asahi,Original,24 min,PG-13 - Teens 13 or older
Aggressive Retsuko,7.64,"Music, Slice of Life, Comedy",TV,100,2016,Sanrio,Other,1 min,PG-13 - Teens 13 or older
Aguu: Tensai Ningyou,5.48,Action,TV,12,2018,TBS,Web manga,23 min,PG-13 - Teens 13 or older
Ahiru no Sora,7.35,Comedy,TV,50,2019,TV Tokyo,Manga,24 min,PG-13 - Teens 13 or older
Aho Girl,6.9,Romance,TV,12,2017,Nihon Ad Systems,4-koma manga,12 min,PG-13 - Teens 13 or older
Ai no Gakkou Cuore Monogatari,6.58,"Slice of Life, Historical, Drama, School",TV,26,1981,Tokyo Movie Shinsha,Novel,25 min,G - All Ages
Ai no Senshi Rainbowman,6.46,Action,TV,22,1982,Tokyo Movie Shinsha,Other,25 min,PG-13 - Teens 13 or older
Ai Tenchi Muyou!,6.19,Sci-Fi,TV,50,2014,VAP,Original,4 min,PG-13 - Teens 13 or older
Ai Tenshi Densetsu Wedding Peach,6.69,Adventure,TV,51,1995,KSS,Manga,24 min,G - All Ages
Ai Yori Aoshi,7.14,"Harem, Slice of Life, Comedy, Drama, Romance",TV,24,2002,Movic,Manga,23 min,PG-13 - Teens 13 or older
Ai Yori Aoshi: Enishi,7.16,Drama,TV,12,2003,Geneon Universal Entertainment,Manga,23 min,PG-13 - Teens 13 or older
Aikatsu Friends!,7.1,"Music, Slice of Life, School, Shoujo",TV,50,2018,TV Tokyo,Game,24 min,PG - Children
Aikatsu Stars!,7.52,"Music, School, Shoujo, Slice of Life",TV,100,2016,TV Tokyo,Original,24 min,PG - Children
Aikatsu!,7.38,"Music, School, Shoujo, Slice of Life",TV,178,2012,TV Tokyo,Original,24 min,PG - Children
Air,7.32,"Slice of Life, Supernatural, Drama, Romance",TV,12,2005,Pony Canyon,Visual novel,24 min,PG-13 - Teens 13 or older
Air Gear,7.53,Action,TV,25,2006,Marvelous,Manga,24 min,R+ - Mild Nudity
Air Master,7.02,Action,TV,27,2003,VAP,Manga,24 min,R - 17+ (violence & profanity)
Aishiteruze Baby★★,7.48,Drama,TV,26,2004,Animax,Manga,25 min,PG-13 - Teens 13 or older
Aiura,6.69,School,TV,12,2013,Pony Canyon,4-koma manga,4 min,G - All Ages
Ajin,7.49,Action,TV,13,2016,Mainichi Broadcasting System,Manga,24 min,R - 17+ (violence & profanity)
Ajin 2nd Season,7.68,Action,TV,13,2016,Toho,Manga,24 min,R - 17+ (violence & profanity)
Akachan to Boku,7.86,Drama,TV,35,1996,TV Tokyo,Manga,25 min,G - All Ages
Akagami no Shirayuki-hime,7.79,"Fantasy, Romance, Drama, Shoujo",TV,12,2015,Geneon Universal Entertainment,Manga,24 min,PG-13 - Teens 13 or older
Akagami no Shirayuki-hime 2nd Season,8,Drama,TV,12,2016,Geneon Universal Entertainment,Manga,24 min,PG-13 - Teens 13 or older
