number,Name,Score,Genre,Type,Episodes,Year,Producers,Source,Duration,Rating
1,009-1,6.26,Action,TV,12,2006,Aniplex,Manga,25,R - 17+ (violence & profanity)
1,07-Ghost,7.24,Action,TV,25,2009,Ichijinsha,Manga,23,PG-13 - Teens 13 or older
1,100-man no Inochi no Ue ni Ore wa Tatteiru,6.45,Action,TV,12,2020,Lantis,Manga,23,PG-13 - Teens 13 or older
1,11eyes,6.16,Action,TV,12,2009,Marvelous,Visual novel,25,R - 17+ (violence & profanity)
1,91 Days,7.84,Action,TV,12,2016,Shochiku,Original,24,R - 17+ (violence & profanity)
1,A.D. Police (TV),6.02,Action,TV,12,1999,AIC,Original,24,PG-13 - Teens 13 or older
1,Absolute Duo,6.51,Action,TV,12,2015,Half H.P Studio,Light novel,24,R - 17+ (violence & profanity)
1,Accel World,7.32,Action,TV,24,2012,Genco,Light novel,24,PG-13 - Teens 13 or older
1,Afro Samurai,7.36,Action,TV,5,2007,Dentsu,Original,27,R+ - Mild Nudity
1,Aguu: Tensai Ningyou,5.48,Action,TV,12,2018,TBS,Web manga,23,PG-13 - Teens 13 or older
1,Ai no Senshi Rainbowman,6.46,Action,TV,22,1982,Tokyo Movie Shinsha,Other,25,PG-13 - Teens 13 or older
1,Air Gear,7.53,Action,TV,25,2006,Marvelous,Manga,24,R+ - Mild Nudity
1,Air Master,7.02,Action,TV,27,2003,VAP,Manga,24,R - 17+ (violence & profanity)
1,Ajin,7.49,Action,TV,13,2016,Mainichi Broadcasting System,Manga,24,R - 17+ (violence & profanity)
1,Ajin 2nd Season,7.68,Action,TV,13,2016,Toho,Manga,24,R - 17+ (violence & profanity)
1,Akai Koudan Zillion,6.6,Action,TV,31,1987,Victor Entertainment,Game,24,PG-13 - Teens 13 or older
1,Akame ga Kill!,7.53,Action,TV,24,2014,Square Enix,Manga,23,R - 17+ (violence & profanity)
1,Akanesasu Shoujo,6.47,Action,TV,12,2018,Yomiko Advertising,Original,23,PG-13 - Teens 13 or older
1,Akatsuki no Yona,8.05,Action,TV,24,2014,VAP,Manga,24,PG-13 - Teens 13 or older
1,Akiba's Trip The Animation,6.55,Action,TV,13,2017,AT-X,Game,23,PG-13 - Teens 13 or older
1,Akudama Drive,7.75,Action,TV,12,2020,Marvelous,Original,23,R - 17+ (violence & profanity)
1,Akuma no Riddle,6.64,Action,TV,12,2014,Mainichi Broadcasting System,Manga,23,R - 17+ (violence & profanity)
1,Akuu Daisakusen Srungle,6.17,Action,TV,53,1983,Kokusai Eigasha,Original,25,PG-13 - Teens 13 or older
1,Aldnoah.Zero,7.44,Action,TV,12,2014,Aniplex,Original,23,R - 17+ (violence & profanity)
1,Aldnoah.Zero 2nd Season,6.98,Action,TV,12,2015,Aniplex,Original,23,R - 17+ (violence & profanity)
1,Alexander Senki,5.71,Action,TV,13,1999,Media Factory,Novel,23,R+ - Mild Nudity
1,Amatsuki,6.92,Action,TV,13,2008,Frontier Works,Manga,23,PG-13 - Teens 13 or older
1,Angel Beats!,8.15,Action,TV,13,2010,Aniplex,Original,24,PG-13 - Teens 13 or older
1,Angel Heart,7.3,Action,TV,50,2005,Aniplex,Manga,23,PG-13 - Teens 13 or older
1,Angolmois: Genkou Kassenki,7.15,Action,TV,12,2018,HOTZIPANG,Manga,23,PG-13 - Teens 13 or older
